Date,Open,High,Low,Close,Price_Percent_Change,Volatility,Price_Change,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI,12_Day_EMA,26_Day_EMA,MACD,MACD_Signal,MACD_Histogram,Volume,
1968-06-24,100.660004,101.480003,99.660004,100.389999,-0.27%,11.81%,-0.270005,0,0.270005,0.381378082,0.218929061,1.742016704,63.53049204,100.8283336,99.18346142,1.64487216,29.1924208,-27.54754864,12320000,
1968-06-25,100.389999,101.099998,99.279999,100.080002,-0.31%,10.56%,-0.309997,0,0.309997,0.35413679,0.225433914,1.570911775,61.1032938,100.8441672,99.26076919,1.583397974,29.00974219,-27.42634422,13200000,
1968-06-27,100.080002,101.010002,99.110001,99.980003,-0.10%,10.42%,-0.099999,0,0.099999,0.328841305,0.216474277,1.519077967,60.30293572,100.7883339,99.35230785,1.436026071,28.79910467,-27.3630786,15370000,
1968-06-28,99.980003,100.629997,98.910004,99.580002,-0.40%,10.35%,-0.400001,0,0.400001,0.235000643,0.257143286,0.913889866,47.75038951,100.647501,99.45538477,1.192116231,28.52827471,-27.33615848,12040000,
1968-07-01,99.580002,100.330002,98.769997,99.400002,-0.18%,9.73%,-0.18,0,0.18,0.218214883,0.251633051,0.867194837,46.44372509,100.4800008,99.5688465,0.911154333,28.18491474,-27.27376041,11280000,
1968-07-02,99.400002,100.599998,98.599998,99.739998,0.34%,9.41%,0.339996,0.339996,0,0.226913534,0.233659262,0.971130065,49.26768061,100.3200003,99.67692335,0.643076987,27.99476191,-27.35168492,13350000,
1968-07-03,99.739998,101.360001,99.599998,100.910004,1.17%,10.84%,1.170006,1.170006,0,0.294277281,0.216969314,1.356308298,57.56073172,100.2916673,99.82038504,0.471282295,27.91543869,-27.4441564,14390000,
1968-07-08,100.910004,102.760002,100.720001,101.940002,1.02%,11.68%,1.029998,1.029998,0,0.290000286,0.270000429,1.074073427,51.78569925,100.3591678,100.0115389,0.347628827,27.68939478,-27.34176595,16860000,
1968-07-09,101.940002,102.93,101.190002,102.230003,0.28%,11.56%,0.290001,0.290001,0,0.290000337,0.250714684,1.156694664,53.6327503,100.5341683,100.2069236,0.327244673,27.59303111,-27.26578643,16540000,
1968-07-11,102.230003,103.669998,101.410004,102.389999,0.16%,11.54%,0.159996,0.159996,0,0.280714313,0.232806492,1.205783869,54.66464263,100.7341683,100.4146159,0.31955241,27.53016222,-27.21060981,20290000,
1968-07-12,102.389999,103.239998,101.389999,102.339996,-0.05%,10.46%,-0.050003,0,0.050003,0.26066329,0.2197491,1.186185931,54.25823641,100.8033345,100.5961541,0.207180385,27.48615363,-27.27897325,14810000,
1968-07-15,102.339996,103.150002,101.440002,102.260002,-0.08%,10.43%,-0.079994,0,0.079994,0.322142929,0.159999786,2.013396,66.81484943,100.9366677,100.7630773,0.173590321,27.56752156,-27.39393124,13390000,
1968-07-16,102.260002,102.720001,100.970001,101.699997,-0.55%,8.80%,-0.560005,0,0.560005,0.299132719,0.188571587,1.586308545,61.33485303,101.0458342,100.8792311,0.16660309,27.71412091,-27.54751782,13380000,
1968-07-18,101.699997,102.650002,100.489998,101.440002,-0.26%,8.02%,-0.259995,0,0.259995,0.277766097,0.193673259,1.434199527,58.91873328,101.1591675,100.9350005,0.224167038,27.85449762,-27.63033058,17420000,
1968-07-19,101.440002,101.82,99.800003,100.459999,-0.97%,9.06%,-0.980003,0,0.980003,0.257925661,0.249839669,1.032364724,50.79623317,101.1991672,100.9380775,0.261089705,27.88371669,-27.62262699,14620000,
1968-07-22,100.459999,100.879997,98.510002,99.330002,-1.13%,10.21%,-1.129997,0,1.129997,0.213571214,0.267142643,0.79946508,44.42792965,101.1783338,100.9165391,0.261794718,27.74785221,-27.48605749,13530000,
1968-07-23,99.330002,99.93,97.889999,99.209999,-0.12%,10.21%,-0.120003,0,0.120003,0.198316128,0.256632668,0.772762598,43.59086766,101.1625003,100.8611544,0.301345865,27.64690657,-27.34556071,13570000,
1968-07-25,99.209999,100.07,97.43,97.940002,-1.29%,11.41%,-1.269997,0,1.269997,0.18415069,0.329015835,0.559701602,35.88517196,101.0125006,100.7330777,0.279422929,27.4562854,-27.17686247,16140000,
1968-07-26,97.940002,99.139999,97.220001,98.339996,0.41%,11.62%,0.399994,0.399994,0,0.199568069,0.305514704,0.653219196,39.51195325,100.7983333,100.6150004,0.183332827,27.29259321,-27.10926038,11690000,
1968-07-29,98.339996,98.779999,96.889999,97.650002,-0.70%,11.74%,-0.689994,0,0.689994,0.217856786,0.367142214,0.59338528,37.24053985,100.4408333,100.4607696,-0.019936327,27.09674103,-27.11667735,10940000,
1968-07-30,97.650002,98.620003,96.839996,97.739998,0.09%,10.18%,0.089996,0.089996,0,0.208723872,0.34091777,0.612241105,37.97453762,100.0666662,100.3257695,-0.259103333,26.78687119,-27.04597453,10250000,
1968-08-01,97.739998,98.82,96.779999,97.279999,-0.47%,8.48%,-0.459999,0,0.459999,0.193815024,0.349423573,0.55467072,35.6776977,99.64083283,100.1776927,-0.536859821,26.49742018,-27.03428,14380000,
1968-08-02,97.279999,97.470001,95.790001,96.629997,-0.67%,8.08%,-0.650002,0,0.650002,0.179971094,0.37089346,0.485236634,32.67066154,99.16499958,100.0430773,-0.878077686,26.19041644,-27.06849413,9860000,
1968-08-05,96.629997,97.510002,95.949997,96.849998,0.23%,8.19%,0.220001,0.220001,0,0.050713643,0.446428,0.113598705,10.20104503,98.71416592,99.92230804,-1.208142122,25.7659609,-26.97410303,8850000,
1968-08-06,96.849998,97.82,96.419998,97.25,0.41%,8.78%,0.400002,0.400002,0,0.075662811,0.414540286,0.182522215,15.4349925,98.34333283,99.75846181,-1.415128974,25.45357421,-26.86870319,9620000,
1968-08-08,97.25,98.32,96.580002,97.040001,-0.22%,8.71%,-0.209999,0,0.209999,0.070258325,0.399930194,0.17567647,14.9425862,97.97666608,99.61923092,-1.64256484,25.13060212,-26.77316696,12920000,
1968-08-09,97.040001,97.559998,96.110001,97.010002,-0.03%,8.79%,-0.029999,0,0.029999,0.065239873,0.373506537,0.174668624,14.86960838,97.68916633,99.48923104,-1.800064705,24.8821799,-26.6822446,8390000,
1968-08-12,97.010002,98.489998,96.720001,98.010002,1.03%,10.53%,1,1,0,0.150713786,0.395713786,0.380865644,27.58165832,97.57916633,99.40961565,-1.830449321,24.73060366,-26.56105298,10420000,
1968-08-13,98.010002,99.199997,97.68,98.529999,0.53%,10.45%,0.519997,0.519997,0,0.177091158,0.367448515,0.481948221,32.52125911,97.52249967,99.35384627,-1.831346603,24.65548858,-26.48683518,12730000,
1968-08-15,98.529999,99.360001,97.480003,98.07,-0.47%,9.57%,-0.459999,0,0.459999,0.16444179,0.374059264,0.439614268,30.53694854,97.53333283,99.29576927,-1.762436436,24.54822529,-26.31066172,12710000,
1968-08-16,98.07,99.209999,97.620003,98.68,0.62%,10.03%,0.61,0.61,0,0.196267376,0.347340745,0.565057163,36.10457026,97.5616665,99.26807688,-1.706410385,24.53904341,-26.24545379,9940000,
1968-08-19,98.68,99.639999,98.160004,99,0.32%,8.32%,0.32,0.32,0,0.254285,0.178570857,1.424000557,58.74588406,97.67416633,99.23961542,-1.56544909,24.76927061,-26.3347197,9900000,
1968-08-20,99,99.650002,98.080002,98.959999,-0.04%,8.19%,-0.040001,0,0.040001,0.236121786,0.16867301,1.399878887,58.33123056,97.77583308,99.16461523,-1.388782147,25.1890553,-26.57783745,10640000,
1968-08-22,98.959999,99.580002,97.709999,98.699997,-0.26%,7.60%,-0.260002,0,0.260002,0.219255944,0.175196509,1.2514858,55.58488533,97.89416625,99.03999965,-1.145833404,25.53825382,-26.68408722,15140000,
1968-08-23,98.699997,99.57,97.709999,98.690002,-0.01%,7.61%,-0.009995,0,0.009995,0.203594805,0.163396402,1.246017678,55.47675294,98.06583333,98.90384577,-0.838012436,25.90851606,-26.7465285,9890000,
1968-08-26,98.690002,99.669998,98.290001,98.940002,0.25%,7.22%,0.25,0.25,0,0.237142857,0.118571214,2.000003614,66.66670683,98.24000033,98.77115358,-0.531153244,26.39619347,-26.92734671,9740000,
1968-08-27,98.940002,99.610001,98.160004,98.809998,-0.13%,6.39%,-0.130004,0,0.130004,0.220204082,0.119387842,1.844443104,64.84373344,98.37000017,98.63538442,-0.265384256,26.72822384,-26.99360809,9710000,
1968-08-29,98.809998,99.489998,97.900002,98.739998,-0.07%,6.45%,-0.07,0,0.07,0.204475219,0.115860139,1.764845275,63.8316108,98.51166658,98.49999965,0.011666929,27.01430465,-27.00263772,10940000,
1968-08-30,98.739998,99.519997,98.199997,98.860001,0.12%,6.33%,0.120003,0.120003,0,0.198441489,0.107584415,1.844518924,64.84467052,98.66583317,98.39076904,0.275064128,27.3454901,-27.07042597,8190000,
