Date,Open,High,Low,Close,Price_Percent_Change,Volatility,Price_Change,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI,12_Day_EMA,26_Day_EMA,MACD,MACD_Signal,MACD_Histogram,Volume,Gold_Close
2015-01-12,266.145996,272.203003,265.200012,267.79599,0.80%,71.98%,2.135986,2.135986,0,2.944344012,6.504788537,0.452642541,31.15993978,284.2972489,304.008883,-19.71163412,71.17671778,-90.8883519,18880300,1207.1
2015-01-13,267.394012,268.277008,219.906006,225.860992,-17.03%,98.58%,-41.934998,0,41.934998,3.541142071,9.603714071,0.368726312,26.93937486,276.9315822,300.7190752,-23.78749303,70.26898318,-94.0564762,72843904,1203.8
2015-01-14,223.893997,223.893997,171.509995,178.102997,-23.76%,130.88%,-47.757995,0,47.757995,3.288203352,12.32901985,0.26670436,21.05498083,265.5208308,295.3444602,-29.82362936,68.58656361,-98.41019296,97638704,1199.85
2015-01-15,176.897003,229.067001,176.897003,209.843994,16.40%,157.42%,31.740997,31.740997,0,5.320545755,11.44837558,0.464742419,31.72861062,259.5843303,290.7247679,-31.14043763,67.58630739,-98.72674503,81773504,1198.6
2015-01-16,209.070007,221.591003,199.770996,208.097,-0.84%,157.07%,-1.746994,0,1.746994,4.940506773,10.75541975,0.459350438,31.47636277,254.9094963,286.3883838,-31.47888744,65.93807389,-97.41696133,38421000,1167.21
2015-01-17,207.834,211.731003,194.875,199.259995,-4.34%,152.50%,-8.837005,0,8.837005,5.076998071,10.92142707,0.464865813,31.73436151,248.6416627,281.2873841,-32.64572145,64.41854386,-97.06426531,23469700,1167.3
2015-01-18,200.050003,218.695007,194.505997,210.339005,5.41%,154.92%,11.07901,11.07901,0,5.505713209,10.14132514,0.542898796,35.18693498,242.3208302,276.5091923,-34.18836218,62.94319096,-97.13155314,30085100,1161.93
2015-01-19,211.470993,216.727997,207.317993,214.860992,2.13%,153.93%,4.521987,4.521987,0,5.435447051,9.416944771,0.57719857,36.59644262,235.697829,272.3679229,-36.67009392,61.62625917,-98.29635309,18658300,1154.8
2015-01-20,212.906998,215.240997,205.153,211.315002,-1.66%,151.55%,-3.54599,0,3.54599,5.047200833,8.997590859,0.560950249,35.93645918,229.6949959,268.2258847,-38.53088878,60.24683099,-98.77771977,24051100,1153.7
2015-01-21,211.378006,227.787994,211.212006,226.897003,7.11%,155.34%,15.582001,15.582001,0,5.151355143,9.968498214,0.516763411,34.07013958,224.4024137,264.3402305,-39.93781687,59.18482389,-99.12264076,29924600,1159.48
2015-01-22,227.322006,237.018997,226.434006,233.406006,2.83%,156.28%,6.509003,6.509003,0,5.24832999,9.256462628,0.566990891,36.1834197,220.9532483,261.1688074,-40.21555909,58.50263673,-98.71819582,33544600,1154.59
